Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
CUSHMANWAKFIELD,1 Montgomery St,San Francisco,94104,,24 hours daily,ChargePoint Network,37.7892598,-122.4022427,17,"Zog's Dogs, T-We Tea, Specialty's Cafe & Bakery, Henry's Cafe & Deli, WI, Lee's Deli, Niji Japanese Grille, Dosa Dosa, Street Food Dojo, Ramzi's Cafe & Catering, Bun Mee, Starbucks, Peet's Coffee & Tea, Fountain Cafe, BAMBOO Asia, Andersen Bakery, Boudin Bakery & Cafe Market Street"
CITYNATNL PLAZA,505 S Flower St,Los Angeles,90071,,24 hours daily,ChargePoint Network,34.0514473,-118.2566062,17,"Cilantro Mexican Grill, Mangia Mangia Caf, Johnnie's New York Pizza, Starbucks, KC's Mediterranean Grill, TOGO'S Sandwiches, Plaza Grill Cafe, Salata, Saffron, Kikka Sushi, Caf Pinot, Lemonade, Samurai Sam's Terriyaki Grill, Starbucks, Pam's Deli Delight, Gourmet Coffee, McDonald's"
CCSF-SFMTA,1399 Bush St,San Francisco,94109,,24 hours daily,ChargePoint Network,37.7886429,-122.4200287,16,"Fresco Pizza & Shawarma, Piccadilly Fish & Chips, Chai-Yo, Quetzal Internet Cafe, Crepes A Go Go, City Dog, Sunny Cafe, Midpoint, Chai-Yo Sweets & Treats, H2O Cafe, El Super Burrito, Leland Tea Company, Mayes Oyster House, Crepes Ooh La La, Aicha Moroccan Cuisine, Modern Thai"
City of Sacramento - Capitol Parking Garage,1015 L St,Sacramento,95814,,Garage business hours; pay lot,,38.5783802,-121.4926,16,"Chicory Coffee & Tea, Tootsies On 11th, Blimpie Subs & Salads K Street Mall, Jumpstart Cafe, Mother, Chops, La Bou, Ambrosia Cafe & Catering, Mother, Blimpie Subs & Salads K Street Mall, Jumpstart Cafe, Tootsies On 11th, La Bou, Ambrosia Cafe & Catering, Chops, Chicory Coffee & Tea"
CITY PARK,600-698 Merchant St,SF,94108,,24 hours daily,ChargePoint Network,37.7948832,-122.4048804,16,"Jai Yun, Alfred's Steakhouse, Hon's Wun Tun House, R&G Lounge, iCafe San Francisco, Oolong Noodles Restaurant, 750 Restaurant & Bar, Subway, The Coffee Shack, Tully's Coffee, Ryumon Seafood Restaurant, Jo Hing Noodle House, Joy Ling, Joy Hing Bar-B-Que Noodle, Garden Restaurant, Anna Bakery"
Civic Center Garage,355 McAllister St,San Francisco,94102,,24 hours daily; pay lot,,37.780369,-122.417824,15,"Yoshitoshi's Strange Tales:  Woodblock Prints from Edo to Meiji, Image Arts, Pier 45, Baxter Chang Patri Fine Art, Mochas Cafe & Grill, Bistro 10UN, Mixed Greens, Slow City Cafe, New Lalita, The Windsor Tea Room, Landmark Theatres San Francisco, Acre Catering, Caffe Roma Coffee Roasting Company, Vegetarian Society of San Francisco, La Canasta"
PACMUTUAL,523 W 6th St,Los Angeles,90014,,24 hours daily,ChargePoint Network,34.0486969,-118.2546222,15,"Sandwich Shop, Bruno Coffee, Los Angeles New York Pizza, Tender Greens, Madame Monsieur, Starbucks, Le Pain Quotidien, Earthbar, Los Angeles NY Pizza, Snack Shop, Le Pain Quotidien, La Baguette, Water Grill, Cabbage Patch, Kitchen Faire"
Arden Fair Mall,1689 Arden Way,Sacramento,95815,,24 hours daily,,38.6014025,-121.4277649,15,"The Steak Escape, Ruby Thai Kitchen, Pretzel Time, Carls jr, Sbarro, Jamba Juice, Seasons 52, Maggiano's Little Italy, Teavana, BJ's Restaurant & Brewhouse, Hot Dog on a Stick, Hibachi-San, Johnny Rockets, Auntie Anne's Pretzels, Starbucks"
CCSF-SFMTA,355 McAllister St,San Francisco,94102,,24 hours daily,ChargePoint Network,37.7802556,-122.4178551,15,"Mochas Cafe & Grill, Mixed Greens, Slow City Cafe, La Canasta, Yoshitoshi's Strange Tales:  Woodblock Prints from Edo to Meiji, New Lalita, The Windsor Tea Room, Landmark Theatres San Francisco, Acre Catering, Caffe Roma Coffee Roasting Company, Vegetarian Society of San Francisco, Bistro 10UN, Image Arts, Pier 45, Baxter Chang Patri Fine Art"
CARCHARGING,405 Howard St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.78853,-122.395144,15,"Kasa Indian Truck, Indian Bento, Peet's Coffee & Tea, Slider Shack, Feed, Spice Kit, Moolicious-Sansome, Noah's Bagels, Subway, Matthew Barney - 'Drawing Restraint', Starbucks, Specialty's, 211 plaza cafe, Starbucks, Olafur Eliasson Exhibit"
CARCHARGING,147 Minna St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.786471,-122.400421,15,"SFMOMA Rooftop Sculpture Garden, Special Xtra 2, Cafe 747, Prive, Lee's Deli, Chandler Fine Art & Framing, Cartoon Art Museum, The Pink Elephant, Working Girls' Cafe, Fang, The Store On the Corner, SFMOMA, Chipotle Mexican Grill, New Ming's Restaurant, Blue Bottle Coffee"
CARCHARGING,528 Jackson St,San Francisco,94133,,24 hours daily,ChargePoint Network,37.7963715,-122.4040146,15,"Scott Howard, Bask, Great Hunan Restaurant, Kells Irish Restaurant & Pub, Raavi Pakistani Indian Cuisine, Oolong Noodles Restaurant, The Cigar Bar & Grill, Istituto Italiano di Cultura di San Francisco, Mrs T's Cafe, The Space Between Gallery, Bask Restaurant, Hedge Gallery, Roka Akor, Yan's Kitchen, Caffe Macaroni"
Parc 55 Hotel,55 Cyril Magnin,San Francisco,94102,,24 hours daily; pay lot,,37.7848527,-122.4085014,15,"New Delhi Restaurant, Infusion Lounge, Pub City Cafe, Burger King, Carl's Jr., Cafe Bellini, Subway, Cable Car City Pub & Cafe, Cable Car Coffee Company, Daniel's Cafe, Puccini & Pinetti, Blondie's Pizza, Barbary Coast, Hana Zen, Cityhouse"
CARCHARGING,50 W San Fernando St,San Jose,95113,,24 hours daily,ChargePoint Network,37.3339019,-121.8892744,14,"Mezcal, Zanotto's Express Deli, Thai Street Food, Citizen Space, Smile House, Subway, 8 Treasures, Baja Fresh Mexican Grill, Ozu Sushi & Grill, Hanuman Thai Cuisine, Crema Coffee Roasting Co., Tandoori Oven, Billy Berk's, Nemea Greek Taverna"
Downtown Properties,"818 West Seventh Street, Suite 410",Los Angeles,90017,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.04889,-118.259518,14,"Panino, 7-Eleven, Fresh 'n Tasty, City Bean, Starbucks, Noda Sushi, Dublin's Irish Pub, 10e Restaurant, Wokcano, Green Hut Cafe, Big Paul's Sandwiches, Seasalt Fish Grill, Pam's Deli, Fresh Grill"
CARCHARGING,1815 Hawthorne Blvd,Redondo Beach,90278,,24 hours daily,ChargePoint Network,33.871418,-118.3546982,14,"Napoli Pizza, French Village Cafe, Great Khans Mongolian, Red Robin Gourmet Burgers, Ruby Thai Kitchen, Chicken Now, Nestle Toll House Cafe, Art Plus Gallery & Framing, Tokyo Grill, Panda Express, Chickenow, Starbucks, Johnny Rockets, Stone Oven"
CITY OF REDWOOD,850 Middlefield Rd,Redwood City,94063,,24 hours daily,ChargePoint Network,37.4858327,-122.229123,14,"The Melt Redwood City, The Old Spaghetti Factory, Hidden Dragon Station, Portobello Grill, Arya Global Cuisine, Pizza My Heart, Century 20 Downtown Redwood City, Fish's Wild, Five Guys Burgers and Fries, Chipotle Mexican Grill, Green Leaf Asian Bistro & Cafe, Cafe La Tartine, Quinto Sol, Sakura Teppanyaki and Sushi"
CLEMENT HOTEL,700 Wave St,Monterey,93940,,24 hours daily,ChargePoint Network,36.615933,-121.901056,14,"Starbucks, Bubba Gump Shrimp Co, Cannery Row Brewing Company, Whaling Station Steakhouse, The Sardine Factory, Steinbeck's Deli and Espresso Bar, Caffino, Monterey Jacks Fish House, Willys Smokehouse, Studio 1 Art Cafe, Cannery Pizza Co., Monterey Crepe Company, Tico's Tacos, Giant Artichoke Restaurant"
Palace Hotel,2 New Montgomery St,San Francisco,94105,,24 hours daily,,37.78881,-122.401,14,"The Sentinel, CTG Salad Club, Subway, McDonald's, McDonald's, B & M Mei Sing Restaurant, Sunrise Deli, Mehfil Indian Cuisine, Starbucks, Caramba, Uno Dos Tacos, Sushirrito, Variety Club Preview Room, Sammy's on 2nd"
CCSF-SFMTA,733 Kearny St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.7949439,-122.4052039,14,"iCafe San Francisco, Joy Ling, Jo Hing Noodle House, Bella Union Theatre, Golden Phoenix Restaurant, Subway, Joy Hing Bar-B-Que Noodle, Penang Garden, Garden Restaurant, Anna Bakery, Oriental Pearl Restaurant, Golden King Vietnamese Restaurant, Hon's Wun Tun House, Golden Star Vietnamese Restaurant"
WALNUT CREEK,1666 N. Main street,Walnut Creek,94596,,24 hours daily,ChargePoint Network,37.9009829,-122.0612849,13,"Caffe La Scala, Modern China Cafe, Kaffa Cafe, Brass Bear Delicatessen, Oi-C Bowl, Ottavio, Prima Ristorante, Opa! Authentic Greek Cuisine, Subway, The Stadium Pub, Bombay Indian Restaurant, Oyama Sushi, 1515 Restaurant & Lounge"
CITY PARK,601 Montgomery St,San Francisco,94111,,24 hours daily,ChargePoint Network,37.7948087,-122.4036461,13,"MunchBoxx, Thai Thai Restaurant, Schilling Cafe, Sausalito Espresso, Pacific Heritage Museum, Evergreen Cafe, The Space Between Gallery, Lost Ladle Cafe, Palio Pronto, Cool Tea Bar, City View Restaurant, New Hong Kong Menu, Mangia Tutti Ristorante"
SACRAMENTO,1110 11th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5785328,-121.4930487,13,"Crest Cafe, Blimpie Subs & Salads K Street Mall, Smith Gallery, Jumpstart Cafe, Tootsies On 11th, Asuka Japanese Restaurant, La Bou, Crest Theatre, Mother, Chicory Coffee & Tea, Pizza Rock, Chops, Ambrosia Cafe & Catering"
City of Palm Springs - Village Green,233 S Palm Canyon Dr,Palm Springs,92262,,24 hours daily,,33.8205971,-116.5468204,13,"Kaiser Grille, LG's Prime Steakhouse, Chop House, Agua Caliente Cultural Museum, McCallum Adobe-Cornelia White House Museum, The Vineyard Tuscan Grill, Pomme Frite, Ruddy's General Store Museum, Las Casuelas Terraza, Thai House Restaurant, Lulu California Bistro, Grind Burger Bar, Espresso Cielo"
BMW GROUP,520 Mason St,San Francisco,94102,,24 hours daily,ChargePoint Network,37.7885014,-122.4099528,13,"Zingari Ristorante, Cesario's, Gallery Arcane, Level III, Persimmon, Cafe La Taza, Cafe Encore, Akiko's Sushi Bar, Hang Art, Hogwash, Leatherneck Steakhouse, Farallon, Nieto Fine Art"
SACRAMENTO,1106 11th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5786738,-121.4929359,12,"La Bou, Chops, Blimpie Subs & Salads K Street Mall, Smith Gallery, Chicory Coffee & Tea, Jumpstart Cafe, Mother, Ambrosia Cafe & Catering, Tootsies On 11th, Pizza Rock, Crest Cafe, Crest Theatre"
Hotel Sofitel,8555 Beverly Blvd,Los Angeles,90048,,24 hours daily,,34.07631,-118.377,12,"Teavana, Starbucks, Sbarro Pizzeria, Tommie's Hamburgers, Great Steak, Wave Restaurant & Bar, KFC Express, Great Kahn's, The Coffee Bean & Tea Leaf, Obika Mozzarella Bar, Estrel, Sherman McNulty"
BEVERLY HILLS,216 S Beverly Dr,Beverly Hills,90212,,24 hours daily,ChargePoint Network,34.0642756,-118.398833,12,"Starbucks, Champagne French Bakery Cafe, The Coffee Bean & Tea Leaf, Maude, Cabbage Patch, Ruth's Chris Steak House, Saffron, Bibigo, O4U Glatt Kosher Mediterranean Cuisine and Bakery, Jimmy Johns, Chin Chin, California Pizza Kitchen"
SANTA MONICA,328 Santa Monica Pl,Santa Monica,90401,,24 hours daily,ChargePoint Network,34.0160161,-118.4953392,12,"Mercado, Sakura, The Great Steak & Potato Company, Sushi Mon, Hooters, The Boba Promenade Cafe, Hikari Sake House, CrepeMaker - Santa Monica, Shophouse Southeast Asian Kitchen, The Britannia Pub, Le Pain Quotidien, The Refinery"
CARCHARGING,550 California St,San Francisco,94104,,24 hours daily,ChargePoint Network,37.79282,-122.403595,11,"Starbucks, Bob's Steak and Chop House, San Francisco Soup, Lee's Deli, Starbucks, Guckenheimer Cafe, Max's Market, Creperie St Germain, Smoking Yohnson's, The Sandwich Gourmet, Starbucks"
CCSF-SFMTA,433 Kearny St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.7921426,-122.4047029,11,"City View Cafe, 360 Degrees Gourmet World Grill, Teriyaki Experience, Miyabi Sushi, Have a Rice Day, Pasilla Mexican Grill, Plentea, San Francisco Soup, Coffee Bar, Harrow, Onigilly Restaurant"
Anchorage Garage - 500 Beach,500 Beach Street,San Francisco,94133,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.80748,-122.4178309,11,"Pompei's Grotto, The Codmother Fish and Chips, Carmel Pizza Company, Tanguito, Lou's Fish Shack, Pizza Zone, Rainforest Cafe, Dick's Last Resort, Chipotle Mexican Grill, Castagnola, Starbucks"
"Carl's Jr - 402 S. Main St., Orange",402 S. Main Street,Orange,92868,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.782005,-117.867775,11,"TOGO'S Sandwiches, Mitaki, XA Sweet and Savory Cafe, Kaffa, The Pizza Store, Roma D' Italia, Carl's Jr, Carls Jr, Dukes Charbroiled, Main St Pizza & Pastal, Hon's Wok"
BEVERLY HILLS,450 N. Rexford Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0729455,-118.3997896,11,"Bonnie Mcdermott Studios, Kelly's Coffee & Fudge Factory, Aol Moviefone, FIM Cafe, Gadir Ristorante, RotorHead, South Pasadena Mercantile Company, Bay Street Arts, Jungo Cafe, Robert Patin Photography, Steve Munch Photography Gallery"
Century City Shopping Center,10250 Santa Monica Blvd,Los Angeles,90067,,Garage business hours; own charging cable required,,34.0604643,-118.4186743,11,"Courtyard Cafe & Yogurt Place, Kelly's Coffee & Fudge Factory, Metropolitan Museum of Art, Chipotle Mexican Grill, Mr. Hana, Gateway Cafe, Gulfstream, Italia Express, Harper's Express, Corner Cafe & Bakery, The Crepe Lady"
Padres Parkade Garage,440 10th Ave,San Diego,92101,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.709987,-117.155581,11,"Comun Kitchen & Tavern, Basic, Caf De L'Opera, Toast Enoteca & Cucina, SOL CAL cafe, Brooklyn Bagel & Bialy, Dirty Del's, 465 Gallery - San Diego Paintwerks, Cumun Kitchen & Tavern, Myxologie Juice Bar, Rustic"
350GREEN,191 E 3rd Ave,San Mateo,94401,,24 hours daily,ChargePoint Network,37.5648727,-122.3241348,11,"Vespucci Ristorante, Little Sheep Mongolian Hot Pot, Shabuway Japanese Style Hot Pot, Sichuan Chong Qing Cuisine, TOGO'S Sandwiches, 3rd Ave Sports Bar & Grill, Quickly, Masu, Zabu Zabu, Cafe D' One, Rave Burger"
CARCHARGING,333 Market St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.7912178,-122.3975143,11,"Julie's Kitchen, Tender Greens, San Francisco Soup Company, Casa Piena, Starbucks, Real Food Kitchen, Kamakura, La Capra, Cello Kebob & Pizza, Subway, Gateway Newstand"
CARCHARGING,1611 Telegraph Ave,Oakland,94612,,24 hours daily,ChargePoint Network,37.806488,-122.270401,11,"Lady's Place, Tamale Guy, Bikecaffe Oakland, Cafe Van Kleef, Catered To You, SoleSpace, Camber Restaurant and Bar, Jimmy's Snacks & Deli, Fat Cat Cafe, Prospect Park Sandwiches, Cafe Lenza"
425 MARKET ST.,425 Market St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.7911209,-122.398125,11,"Starbucks, Julie's Kitchen, Prime Dip Sandwiches, Cello Kebob & Pizza, Kamakura, Starbucks, Starbucks, Creperie Saint Germain Crepe Catering, Front Door Cafe, Halal Cart, Focaccia Market and Bakery"
OAKWOOD,11340 W. Olympic Blvd.,Los Angeles,90064,,24 hours daily,ChargePoint Network,34.0376246,-118.4409407,10,"Daikokuya, Which Wich Superior Sandwiches, Lollicup, SushiStop, SushiStop Izakaya, Chicken Dijon, Champagne French Bakery Cafe, Starbucks, Panda Express, Starbucks"
BMW GROUP,369 Pine St,SF,94104,,24 hours daily,ChargePoint Network,37.7914559,-122.4017333,10,"Workshop Cafe, Specialty's Cafe & Bakery, Credo, Fuel Cafe, The Sandwich Company, Mark Wolfe Contemporary Art, 360 Degrees Gourmet Burritos, Caffe Cova, Sunrise Catering, Diller's"
CITY OF ANAHEIM,201 S. Anaheim Blvd,Anaheim,92805,,24 hours daily,ChargePoint Network,33.8346211,-117.9139693,10,"Submarina, Robert Patin Photography, Starbucks, World Famous Grill, Starbucks, The Find By Von Hemert Design, South Pasadena Mercantile Company, Bountiful Valley Farmers Market, Casa del Sol Restaurant, The Beefery"
Sutter Stockton Garage,444 Stockton St,San Francisco,94108,,Garage business hours; pay lot,,37.78988,-122.407,10,"Starbucks, Campton Place Restaurant, Bouche, After Osha - Thai Grab N Go, Burritt Room + Tavern, Boba Guys, Taqueria Mana, Starbucks, OneUP Restaurant & Lounge, Cohen Rese Gallery"
California State University - East Bay,25800 Carlos Bee Blvd,Hayward,94542,,Lot business hours; pay lot,,37.6575629,-122.0543356,10,"Einstein Bros Bagels, Greens To Go, Starbucks, Subway, Raging Burrito, Subway, Raging Burrito, Starbucks, Einstein Bros Bagels, Greens To Go"
Ellis O'Farrell Garage,123 O'Farrell St,San Francisco,94102,,24 hours daily; pay lot,,37.7865487,-122.4071729,10,"Starbucks, Tortilla Kitchen at Macy's, Asian Box, King Of Thai Noodle House, Boudin Bakery & Cafe Macy's Union Square, FreshMarket Neiman Marcus, Frontera Fresco, Caff Central, Jazz Bistro At Les Joulins, Confetti Cafe at Macy's"
CITYNATNL PLAZA,400 S Flower St,Los Angeles,90071,,24 hours daily,ChargePoint Network,34.0521687,-118.2547377,10,"Rendezvous Court, Panda Express, Johnnie's New York Pizzeria, Maui Wowi Hawaiian Coffee & Smoothies, 333 Restaurant, Starbucks, California Crisp, Kogi BBQ Verde Truck, Bernie's Cafe, Hobo Co. Pizza"
Park Tower,805 J St,Sacramento,95814,,Garage business hours; pay lot,,38.58085,-121.4953,10,"Baja Fresh Mexican Grill, Sushi Paradiso, Blackbird Kitchen+Beer Gallery, Cafe Soleil, Temple Coffee Roasters, Ancho Mexican Grill, Matt Brown Art Pit, Baja Fresh Mexican Grill, Quiznos, Starbucks"
Pacific Place Garage,22 4th St,San Francisco,94103,,Garage business hours,,37.7854345,-122.4057831,10,"The Coffee Bean & Tea Leaf, Dirty Habit, Starbucks, Annie's Hot Dog Cart, XS Small Foods, Starbucks, Shapiro Gallery, Hot Dog Stand, Freddie Fong Contemporary Art, San Francisco Museum and Historical Society"
BWP EV CHARGE,240 E Orange Grove Ave,Burbank,91502,,24 hours daily,ChargePoint Network,34.1820949,-118.3092377,10,"Knight, Odz & Enz, Pho Burbank, Moana Hawaiian BBQ, Kabuki Japanese Restaurant, North End Pizzeria, Boba Loca, Don Cuco, Moore's Delicatessen, India's Tandoori"
LA Live / Staples Center,"800 W. Olympic, East Garage Level 1 & 2",Los Angeles,90015,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.04503,-118.265633,10,"Fleming's Prime Steakhouse & Wine Bar, ToDoRikO Grill Dogs & Tacos, La Live the Dark Knight Legends Exhibit, Wolfgang Puck Bar & Grill, Lucky Strike, Katsuya L.A. Live, The Farm of Beverly Hills, Rock N Fish, Yard House, The Grammy Museum"
Squaw Valley Far East Building,1960 Squaw Valley Rd,Olympic Valley,96146,,24 hours daily,,39.196764,-120.236071,10,"John Anderson Art Glass, KTchen, Ryans Motorcyle Painting & Photography, KT Base Bar, Dave's Deli, Mountain Nectar, Soupa, 22 Bistro, Le Chamois, Zenbu Tapas Lounge"
STANFORD,459 Lagunita Dr,Stanford,94305,,24 hours daily,ChargePoint Network,37.4240775,-122.1708978,10,"Union Square - Stanford Dining, Panda Express, Twisted Sprout, Tresidder Memorial Union, Chopstix, Santa Maria Tritip, Fraiche Yogurt, CoHo Cafe, The Treehouse, Starbucks"
